"BLOCK"	"State"	"St_Block"	"Effort80"	"Occ80"	"CAWA_year80"	"X90year80"	"Effort00"	"Occ00"	"CAWA_year00"	"X90year00"	"Priors80"	"Priors00"	"pfor"	"ele"	"ele2"	"edge"	"edge_resid"	"lat"	"long"	"Block_I"	"dif80"	"dif00"	"acov"	"neigh"	"sites"	"cawa00"	"cawa80"
"5123"	"6298A"	"NY"	"NY_6298A"	4	0	0	0	8.5	0	0	0	0	0	0.008493	3443	11854249	14999.959	-65135.1427542341	45.0314779828	-73.3810355725	62981	0	0	0.252486759561482	0.252486759561482	"6298"	NA	NA
"3171"	"5198C"	"NY"	"NY_5198C"	30.5	0	0	0	35	0	0	0	0	0	0.168722	4382	19201924	5000.4	-68909.1084783997	44.9977341079	-74.7776085265	51983	0	0	0.213167754808457	0.213167754808457	"5198"	NA	NA
"3172"	"5198D"	"NY"	"NY_5198D"	2.8	0	0	0	11.5	0	0	0	0	0	0.14387	3956	15649936	4999.6	-69875.5167271626	44.9975925008	-74.7141721844	51984	0	0	0.180027719413988	0.180027719413988	"5198"	NA	NA
"3011"	"5098D"	"NY"	"NY_5098D"	66	0	0	0	50	0	0	2001	0	0	0.29551	4800	23040000	5000.45	-63982.7934436276	44.9978385736	-74.8410504361	50984	0	-2001	0.186900764187344	0.186900764187344	"5098"	NA	NA
"3336"	"5298C"	"NY"	"NY_5298C"	2	0	0	0	2	0	0	2000	0	0	0.238417	3784	14318656	4999.6	-66201.9547162263	44.9974139765	-74.6507411635	52983	0	-2000	0.10435410079789	0.10435410079789	"5298"	NA	NA
"4032"	"5698D"	"NY"	"NY_5698D"	16	0	0	1983	3	0	0	2001	0	0	0.345638	593	351649	5000.61	-62034.9427026816	44.9942412176	-74.0798612545	56984	-1983	-2001	0.243605032223687	0.243605032223687	"5698"	NA	NA
"4216"	"5798C"	"NY"	"NY_5798C"	4	0	0	0	4	0	0	2001	0	0	0.325958	1201	1442401	5000.47	-62799.7362651979	44.9937125495	-74.0164305081	57983	0	-2001	0.363931616103462	0.363931616103462	"5798"	NA	NA
"4217"	"5798D"	"NY"	"NY_5798D"	3.5	0	0	1982	4	0	0	2001	0	0	0.430077	1622	2630884	5000.02	-58754.7104381841	44.9931477967	-73.9530053871	57984	-1982	-2001	0.375067895523041	0.375067895523041	"5798"	NA	NA
"3010"	"5098C"	"NY"	"NY_5098C"	2	0	0	1982	9	0	0	2005	0	0	0.055756	4899	24000201	5000.45	-73298.2787194167	44.9979076897	-74.9044929437	50983	-1982	-2005	0.157799636952794	0.157799636952794	"5098"	NA	NA
"4031"	"5698C"	"NY"	"NY_5698C"	10	0	0	0	34.8	0	0	0	0	0	0.295132	229	52441	5000.61	-63997.320387054	44.9947344518	-74.1432945983	56983	0	0	0.148769450973813	0.148769450973813	"5698"	NA	NA
"3850"	"5598D"	"NY"	"NY_5598D"	7	0	0	0	31	0	0	0	0	0	0.311351	5180	26832400	5000.61	-63367.1417218888	44.9951924625	-74.2067295195	55984	0	0	0.0511477183719291	0.0511477183719291	"5598"	NA	NA
"3849"	"5598C"	"NY"	"NY_5598C"	9	0	0	0	9	0	0	0	0	0	0.386106	4879	23804641	4999.97	-60463.2249604098	44.9956148422	-74.2701619476	55983	0	0	0.0389484950777946	0.0389484950777946	"5598"	NA	NA
"4413"	"5898C"	"NY"	"NY_5898C"	4	1	1982	1982	43	0	0	0	0	0	0.602662	2008	4032064	5000.02	-52049.0328423064	44.9925471612	-73.8895850772	58983	0	0	0.238748529585052	0.238748529585052	"5898"	NA	1
"3337"	"5298D"	"NY"	"NY_5298D"	11	0	0	0	8	0	0	2004	0	0	0.32574	3787	14341369	4999.6	-62809.0765129941	44.9972002209	-74.5873107784	52984	0	-2004	0.0850970219442939	0.0850970219442939	"5298"	NA	NA
"5125"	"6298D"	"NY"	"NY_6298D"	1	0	0	1984	6.5	0	0	0	0	0	0.105499	2063	4255969	10000.01969	-66365.9772123309	44.9855715692	-73.318903626	62984	-1984	0	0.0866321425537296	0.0866321425537296	"6298"	NA	NA
"2851"	"4998D"	"NY"	"NY_4998D"	NA	0	0	0	4.5	0	0	2005	0	0	0.028783	5011	25110121	10000.3	-69346.4470396277	44.9979415712	-74.9679356254	49984	0	-2005	0.235654682636999	0.235654682636999	"4998"	NA	NA
"3675"	"5498D"	"NY"	"NY_5498D"	13	0	0	0	4	0	0	2000	0	0	0.236587	4768	22733824	4999.83	-66272.8281724969	44.9960015342	-74.3335909088	54984	0	-2000	0	0	"5498"	NA	NA
"5124"	"6298C"	"NY"	"NY_6298C"	19.5	0	0	0	14.5	0	0	2000	0	0	0.226409	3002	9012004	0	-71668.1177232738	44.9864866036	-73.3823016914	62983	0	-2000	0.206904728558927	0.206904728558927	"6298"	NA	NA
"4414"	"5898D"	"NY"	"NY_5898D"	2	0	0	1982	58	0	0	0	0	0	0.639063	1938	3755844	5000.02	-50634.6957320851	44.9919113171	-73.8261668173	58984	-1982	0	0.290983390136653	0.290983390136653	"5898"	NA	0
"3674"	"5498C"	"NY"	"NY_5498C"	18	0	0	0	7	0	0	2000	0	0	0.203163	4595	21114025	4999.84	-67571.4858896485	44.9963529254	-74.3970202447	54983	0	-2000	0	0	"5498"	NA	NA
"4999"	"6198D"	"NY"	"NY_6198D"	17	0	0	1983	50	0	0	0	0	0	0.295524	4214	17757796	5000.0307	-63982.66878276	44.9873664593	-73.4457027353	61984	-1983	0	0.352542379882455	0.352542379882455	"6198"	NA	NA
"3504"	"5398C"	"NY"	"NY_5398C"	23	0	0	0	12.5	0	0	0	0	0	0.171212	3881	15062161	4999.63	-68813.1311526545	44.9969514343	-74.5238809792	53983	0	0	0.0729950188057235	0.0729950188057235	"5398"	NA	NA
"4998"	"6198C"	"NY"	"NY_6198C"	20	1	1982	1982	50	0	0	0	0.4	0	0.475183	4861	23629321	5000.06	-57002.1062313314	44.9882112852	-73.509106825	61983	0	0	0.343206718747111	0.343206718747111	"6198"	NA	NA
"3505"	"5398D"	"NY"	"NY_5398D"	15	0	0	0	8	0	0	2000	0	0	0.158061	4303	18515809	4999.84	-69323.8946791104	44.996669087	-74.4604506861	53984	0	-2000	0	0	"5398"	NA	NA
"4810"	"6098D"	"NY"	"NY_6098D"	4	1	1984	1984	44	0	0	2004	0.4	0	0.5472	5160	26625600	5000.08	-54203.9126738246	44.9890211607	-73.5725139457	60984	0	-2004	0.327262205138031	0.327262205138031	"6098"	0	1
"4611"	"5998C"	"NY"	"NY_5998C"	37	1	1982	0	107	1	2001	0	0	0.6	0.615351	1418	2010724	5000.03	-51556.0000244827	44.9912405409	-73.7627505803	59983	1982	2001	0.108332283151376	0.108332283151376	"5998"	NA	NA
"4809"	"6098C"	"NY"	"NY_6098C"	10	0	0	0	36	0	0	2004	0	0	0.588938	97	9409	5000.08	-52582.2099099879	44.9897959265	-73.6359237939	60983	0	-2004	0.432382241921603	0.432382241921603	"6098"	0	NA
"4612"	"5998D"	"NY"	"NY_5998D"	16	0	0	1984	38	1	2001	0	0	0.6	0.621309	642	412164	5000.08	-51324.4558209526	44.9905354972	-73.6993361547	59984	-1984	2001	0.252425649224441	0.252425649224441	"5998"	NA	0
"3167"	"5197A"	"NY"	"NY_5197A"	22.5	0	0	0	10.5	0	0	2002	0	0	0.454526	4598	21141604	0	-62804.7804915397	44.9527254076	-74.7777823551	51971	0	-2002	0.325898054691584	0.325898054691584	"5197"	NA	NA
"3168"	"5197B"	"NY"	"NY_5197B"	18	0	0	0	11	0	0	0	0	0	0.577447	4458	19873764	0	-58028.7652192804	44.9525840016	-74.7143954374	51972	0	0	0.30587273167274	0.30587273167274	"5197"	NA	NA
"3007"	"5097B"	"NY"	"NY_5097B"	23.5	0	0	0	11	0	0	0	0	0	0.443552	4769	22743361	0	-63231.168103077	44.9528299194	-74.841173898	50972	0	0	0.314344330251218	0.314344330251218	"5097"	NA	NA
"3332"	"5297A"	"NY"	"NY_5297A"	4	0	0	1982	8.5	0	0	0	0	0	0.539073	4456	19855936	0	-59519.7619574917	44.952406107	-74.6510128351	52971	-1982	0	0.257942392649394	0.257942392649394	"5297"	NA	0
"3006"	"5097A"	"NY"	"NY_5097A"	56	0	0	0	8.5	0	0	0	0	0	0.322946	4903	24039409	0	-67917.2355604367	44.9528991515	-74.9045659758	50971	0	0	0.254647014752444	0.254647014752444	"5097"	NA	NA
"4028"	"5697B"	"NY"	"NY_5697B"	17	0	0	1983	71	0	0	0	0	0	0.376799	1405	1974025	0	-65824.8123743498	44.9492371618	-74.0805769353	56972	-1983	0	0.24867427897222	0.24867427897222	"5697"	NA	NA
